tournament,pool_id,fencer_num,fencer,opponent_num,opponent,bout_order,bout_type,cell_result,result,touches_scored,touches_allowed,score_margin,fencer_rating_pre,opp_rating_pre,strength_diff,win,fencer_bout_order,prev_win,recent_form_3
Feb NAC 2026,pool_11,6,LIU Aaron,7,YOU Martin,7,pool,V5,1,5,5,0,2184.0,1711.0,473.0,1,2,1.0,1.0
Feb NAC 2026,pool_11,6,LIU Aaron,2,NGUYEN Martin,10,pool,V5,1,5,5,0,2184.0,2609.0,-425.0,1,3,1.0,1.0
Feb NAC 2026,pool_11,6,LIU Aaron,4,PAN Ethan,13,pool,D3,0,3,5,-2,2184.0,2091.0,93.0,0,4,1.0,1.0
Feb NAC 2026,pool_11,6,LIU Aaron,1,SONG Noel,16,pool,D2,0,2,5,-3,2184.0,2615.0,-431.0,0,5,0.0,0.6666666666666666
Feb NAC 2026,pool_11,6,LIU Aaron,5,CO Dylan,19,pool,D1,0,1,5,-4,2184.0,2888.0,-704.0,0,6,0.0,0.3333333333333333
Feb NAC 2026,pool_11,2,NGUYEN Martin,3,ZHONG Maxwell,6,pool,V5,1,5,5,0,2609.0,2250.0,359.0,1,2,0.0,0.0
Feb NAC 2026,pool_11,2,NGUYEN Martin,6,LIU Aaron,10,pool,D2,0,2,5,-3,2609.0,2184.0,425.0,0,3,1.0,0.5
Feb NAC 2026,pool_11,2,NGUYEN Martin,7,YOU Martin,14,pool,V5,1,5,5,0,2609.0,1711.0,898.0,1,4,0.0,0.3333333333333333
Feb NAC 2026,pool_11,2,NGUYEN Martin,4,PAN Ethan,17,pool,V5,1,5,5,0,2609.0,2091.0,518.0,1,5,1.0,0.6666666666666666
Feb NAC 2026,pool_11,2,NGUYEN Martin,1,SONG Noel,20,pool,V5,1,5,5,0,2609.0,2615.0,-6.0,1,6,1.0,0.6666666666666666
Feb NAC 2026,pool_11,4,PAN Ethan,5,CO Dylan,5,pool,D1,0,1,5,-4,2091.0,2888.0,-797.0,0,2,0.0,0.0
Feb NAC 2026,pool_11,4,PAN Ethan,3,ZHONG Maxwell,9,pool,D3,0,3,5,-2,2091.0,2250.0,-159.0,0,3,0.0,0.0
Feb NAC 2026,pool_11,4,PAN Ethan,6,LIU Aaron,13,pool,V5,1,5,5,0,2091.0,2184.0,-93.0,1,4,0.0,0.0
Feb NAC 2026,pool_11,4,PAN Ethan,2,NGUYEN Martin,17,pool,D2,0,2,5,-3,2091.0,2609.0,-518.0,0,5,1.0,0.3333333333333333
Feb NAC 2026,pool_11,4,PAN Ethan,7,YOU Martin,21,pool,V5,1,5,5,0,2091.0,1711.0,380.0,1,6,0.0,0.3333333333333333
Feb NAC 2026,pool_11,1,SONG Noel,7,YOU Martin,4,pool,V5,1,5,5,0,2615.0,1711.0,904.0,1,2,1.0,1.0
Feb NAC 2026,pool_11,1,SONG Noel,5,CO Dylan,8,pool,D3,0,3,5,-2,2615.0,2888.0,-273.0,0,3,1.0,1.0
Feb NAC 2026,pool_11,1,SONG Noel,3,ZHONG Maxwell,12,pool,V5,1,5,5,0,2615.0,2250.0,365.0,1,4,0.0,0.6666666666666666
Feb NAC 2026,pool_11,1,SONG Noel,6,LIU Aaron,16,pool,V5,1,5,5,0,2615.0,2184.0,431.0,1,5,1.0,0.6666666666666666
Feb NAC 2026,pool_11,1,SONG Noel,2,NGUYEN Martin,20,pool,D2,0,2,5,-3,2615.0,2609.0,6.0,0,6,1.0,0.6666666666666666
Feb NAC 2026,pool_11,7,YOU Martin,6,LIU Aaron,7,pool,D3,0,3,5,-2,1711.0,2184.0,-473.0,0,2,0.0,0.0
Feb NAC 2026,pool_11,7,YOU Martin,5,CO Dylan,11,pool,D1,0,1,5,-4,1711.0,2888.0,-1177.0,0,3,0.0,0.0
Feb NAC 2026,pool_11,7,YOU Martin,2,NGUYEN Martin,14,pool,D1,0,1,5,-4,1711.0,2609.0,-898.0,0,4,0.0,0.0
Feb NAC 2026,pool_11,7,YOU Martin,3,ZHONG Maxwell,18,pool,D2,0,2,5,-3,1711.0,2250.0,-539.0,0,5,0.0,0.0
Feb NAC 2026,pool_11,7,YOU Martin,4,PAN Ethan,21,pool,D1,0,1,5,-4,1711.0,2091.0,-380.0,0,6,0.0,0.0
Feb NAC 2026,pool_11,3,ZHONG Maxwell,2,NGUYEN Martin,6,pool,D1,0,1,5,-4,2250.0,2609.0,-359.0,0,2,0.0,0.0
Feb NAC 2026,pool_11,3,ZHONG Maxwell,4,PAN Ethan,9,pool,V5,1,5,5,0,2250.0,2091.0,159.0,1,3,0.0,0.0
Feb NAC 2026,pool_11,3,ZHONG Maxwell,1,SONG Noel,12,pool,D0,0,0,5,-5,2250.0,2615.0,-365.0,0,4,1.0,0.3333333333333333
Feb NAC 2026,pool_11,3,ZHONG Maxwell,5,CO Dylan,15,pool,D3,0,3,5,-2,2250.0,2888.0,-638.0,0,5,0.0,0.3333333333333333
Feb NAC 2026,pool_11,3,ZHONG Maxwell,7,YOU Martin,18,pool,V5,1,5,5,0,2250.0,1711.0,539.0,1,6,0.0,0.3333333333333333
